id,Main_Category,Is_Successful,Rounds,People,Days,Sub_Category,Content,Keywords,KG_Paths,Explanation
9800514,Criminal,Unsuccessful,1,2,8,Traffic Accident,"At about 15:22 on April 15, 1997, [Name] drove a minivan owned by him with [license plate] and [Name] drove a minivan owned by [license plate] and carried a third person [name] and [name]. A car accident occurred at the intersection of Xianbei Street and Daxing Road, Anding Township, Tainan County. Both vehicles were damaged and [name] and [name] were injured.",Self-used minivan Carrying a third person injured in a self-used minibus,ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600246->OUTCOME_10600246_Established | ENTITY_Car->ENTITY_Car accident->ENTITY_Body injury->CASE_10400858->OUTCOME_10400858_Not established | ENTITY_Private minivan->ENTITY_Car accident->ENTITY_Passenger car->CASE_10300318->OUTCOME_10300318_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300043->OUTCOME_10300043_Established | ENTITY_Private pickup truck->ENTITY_Car accident->ENTITY_Motorcycle->CASE_10000771->OUTCOME_10000771_Established,"This case involves the injury of a third party and the type of vehicle, and both parties still have disputes over the ownership of the accident, so the possibility of mediation is low."
9800517,Criminal,Successful,2,3,15,Traffic Accident,"At about 17:35 on September 13, 1998, [name] was riding a motorcycle owned by him [license plate], and [name] was riding a motorcycle owned by him [license plate]. [Name] was riding a personal passenger car owned by him [license plate].",Locomotive equipped with private passenger car,ENTITY_Packed->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10600191->OUTCOME_10600191_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10100708->OUTCOME_10100708_Not established | ENTITY_Owned passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300326->OUTCOME_10300326_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Owned passenger car->CASE_10100684->OUTCOME_10100684_Not established | ENTITY_Car accident injury dispute->ENTITY_owned by the company->ENTITY_powered->CASE_10500171->OUTCOME_10500171_established,"Since the two parties differed greatly on the amount of compensation, and the accident appraisal report had not yet been released, it was difficult for the mediation committee to reach a consensus on the amount of compensation, so it was concluded that this mediation was not established."
9800518,Criminal,Successful,1,2,7,Traffic Accident,"At about 16:30 on August 21, 1998, [name] was riding a motorcycle owned by [name] with [license plate] and [name] was riding a motorcycle owned by me [license plate]. A car accident occurred at the intersection of Park Park South Road and Park Road in Tainan City. Both parties were damaged and injured.",Motorcycle injured,ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100467->OUTCOME_10100467_Established | ENTITY_Injury->ENTITY_Car accident->ENTITY_Private pickup truck->CASE_10300497->OUTCOME_10300497_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000633->OUTCOME_10000633_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10300753->OUTCOME_10300753_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100271->OUTCOME_10100271_Established,"Since the motorcycle rider was slightly injured in the car accident, the two parties had little disagreement on the amount of compensation. In addition, both parties were sincere in participating in the mediation, so it was inferred that the mediation would be established."
9800519,Criminal,Unsuccessful,2,2,37,Traffic Accident,"At about 0:43 on May 29, 1998, [name] was riding a motorcycle with [license plate] and [name] was riding a motorcycle with [license plate]. A car accident occurred in front of No. 149, Kaiyuan Road, North District, Tainan City, and [name] was injured.",Injury occurred in front of motorcycle,ENTITY_A car accident occurred before ->ENTITY_Injury->ENTITY_Private passenger car->CASE_10500713->OUTCOME_10500713_Not established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600788->OUTCOME_10600788_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10500304->OUTCOME_10500304_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10300343->OUTCOME_10300343_Not established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Car damage->CASE_10300336->OUTCOME_10300336_Established,"Since the two parties have huge differences over the amount of compensation and cannot reach consensus on the details of the car accident that occurred in front of the motorcycle, the final outcome of the mediation is expected to be unsuccessful."
9800520,Criminal,Unsuccessful,3,2,24,Traffic Accident,"At about 9:15 pm on March 4, 1998, [Name] was riding a motorcycle owned by [Name] with [license plate] and [Name] was riding a motorcycle with [license plate] owned by me. A car accident occurred at the intersection of Changbei Street and Beizhong Street in North District, Tainan City. [Name] was injured.",Motorcycle injured,ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400068->OUTCOME_10400068_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300043->OUTCOME_10300043_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500942->OUTCOME_10500942_Established | ENTITY_Car accident injury dispute->ENTITY_Owned by the company->ENTITY_Carrying->CASE_10400193->OUTCOME_10400193_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100638->OUTCOME_10100638_Established,"Since the motorcycle rider was slightly injured in the car accident, and the liability for the accident clearly belongs to the other party, the two parties have little disagreement on the amount of compensation, so the possibility of mediation is high."
9800521,Criminal,Successful,1,5,9,Intellectual Property,[Name] downloaded 40 songs from [Company] ([Company]) without authorization,Unauthorized download of songs,ENTITY_Download->ENTITY_District Prosecutor’s Referral->ENTITY_Debt->ENTITY_Infringement->CASE_9900268->OUTCOME_9900268_Not Established | ENTITY_District Prosecutor’s Referral->ENTITY_Emotional Dispute->ENTITY_Civil (Property)->ENTITY_Fraud->CASE_9800491->OUTCOME_9800491_Not Established | ENTITY_Download->ENTITY_District Inspection Referral->ENTITY_Emotional Dispute->ENTITY_Mediation->CASE_10400800->OUTCOME_10400800_Not Established | ENTITY_Download->ENTITY_District Inspection Referral->ENTITY_Sales and Leasing->ENTITY_Deposit->CASE_10400496->OUTCOME_10400496_Not Established | ENTITY_Download->ENTITY_District Inspection Referral->ENTITY_Buying->ENTITY_Registration->CASE_10000332->OUTCOME_10000332_Not established,"Since this case involved an infringement of intellectual property rights and a criminal referral from the District Prosecutor's Office, and the two parties could not reach an agreement on the amount of compensation and settlement conditions, and the evidence submitted by the plaintiff was still insufficient, mediation was not established."
9800522,Criminal,Successful,2,2,6,Traffic Accident,"At around 8:30 on October 25, 1998, [Name] was driving a personal passenger car owned by [Name] with [license plate] and [Name] was riding a motorcycle with [license plate] owned by him. They had a car accident at the intersection of Wencheng 5th Street and Yude 2nd Street, North District, Tainan City. Both vehicles were damaged and [Name] was injured.",Private passenger car and motorcycle injured,ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500628->OUTCOME_10500628_Not established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_9900304->OUTCOME_9900304_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10300753->OUTCOME_10300753_Established | ENTITY_Private passenger car->ENTITY_Company-owned->ENTITY_Car accident->CASE_10100552->OUTCOME_10100552_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10600476->OUTCOME_10600476_Established,"Since the two parties differed greatly on the amount of compensation, and the accident appraisal report had not yet been released, it was difficult for the mediation committee to reach a consensus on the amount of compensation, so it was concluded that this mediation was not established."
9800523,Criminal,Successful,1,4,14,Traffic Accident,"At about 13:35 on August 18, 1998, [name] was riding a motorcycle owned by him [license plate] and [name] was driving a passenger car owned by [name] [license plate]. They were involved in a car accident at the intersection of the west section of University Road and Qianfeng intersection in Tainan City. [name] was injured.","Motorcycle, private passenger car, injured",ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10100028->OUTCOME_10100028_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Injury->CASE_10300068->OUTCOME_10300068_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10700055->OUTCOME_10700055_Established | ENTITY_Car accident injury dispute->ENTITY_Car accident->ENTITY_Car damage->CASE_10700076->OUTCOME_10700076_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100125->OUTCOME_10100125_Established,"Since there is no big difference between the two parties regarding the responsibility of the motorcycle rider, and there is not much difference between the two parties regarding the settlement conditions, and the car accident falls within the scope of compulsory insurance, it is inferred that this mediation was established."
9800524,Criminal,Successful,1,2,9,Traffic Accident,"At about 20:30 on May 12, 1998, [name] drove a passenger car owned by [name] and [name] drove a passenger car owned by me. They were involved in a car accident at the intersection of Yude 2nd Road and Wencheng 2nd Street, North District, Tainan City. Both vehicles were damaged.",Passenger car damage,ENTITY_Passenger car->ENTITY_Locomotive->ENTITY_Injury->CASE_10100139->OUTCOME_10100139_Not established | ENTITY_Passenger car->ENTITY_Locomotive->ENTITY_Passenger car->CASE_10100018->OUTCOME_10100018_Established | ENTITY_Passenger car->ENTITY_Car accident injury dispute->ENTITY_Bump->CASE_10600528->OUTCOME_10600528_Not established | ENTITY_Passenger car->ENTITY_Motorcycle->ENTITY_Company-owned->CASE_10300051->OUTCOME_10300051_Not established | ENTITY_Passenger car->ENTITY_Motorcycle->ENTITY_Passenger car->CASE_10500880->OUTCOME_10500880_Established,"Due to the large differences between the two parties regarding the amount of compensation, and the complexity of the damage to the passenger car, it was difficult for the mediation committee to reach a consensus, so it was concluded that this mediation would not be successful in the end."
9800525,Criminal,Unsuccessful,2,5,129,Traffic Accident,"At about 20:00 on July 4, 1998, [Name] was riding a motorcycle owned by him [license plate], carrying [name] and [name] driving his own passenger car with [license plate], and an accident occurred at the intersection of Lin'an Road Section 2 and Lin'an Road Section 2, Alley 169, North District, Tainan City. [Name]'s motorcycle backed into the intersection and stopped to wait for [name] to drive his own passenger car with [license plate]. Three parties' vehicles were damaged, and [name] and [name] were injured.",The motorcycle is equipped with a passenger car for personal use. The third party is damaged and injured.,ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600788->OUTCOME_10600788_Established | ENTITY_Car accident injury dispute->ENTITY_103 years of the Republic of China->ENTITY_Yongkang District->CASE_10300659->OUTCOME_10300659_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300799->OUTCOME_10300799_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600075->OUTCOME_10600075_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500207->OUTCOME_10500207_Established,"In this case, a motorcycle collided with a passenger car for personal use, causing damage to three parties' vehicles and injuries. Since the two parties still disagreed on the amount of compensation, considering the responsibility for the accident and the social welfare, it was recommended to use mediation to resolve the matter, so the possibility of mediation being established was relatively high."
9800526,Civil,Successful,1,4,1,Traffic Accident,"At about 20:37 on August 30, 1998, [name], the father of the creation of man, was riding a motorcycle (car number: [license plate]) on Zhongxiao Road, Yongkang City, Tainan County. He was riding a motorcycle owned by [name] (car number: [license plate]) and fell into a car accident on Zhongxiao Road, Yongkang City, Tainan County.",locomotive death,ENTITY_Car accident damage compensation->ENTITY_Owned by the company->ENTITY_Motorcycle->CASE_10100192->OUTCOME_10100192_Established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400587->OUTCOME_10400587_Not established | ENTITY_Car accident damages->ENTITY_Company-owned->ENTITY_Car accident->CASE_10000427->OUTCOME_10000427_Established | ENTITY_Car accident damages->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10500729->OUTCOME_10500729_Established | ENTITY_Death->ENTITY_Pedestrian->ENTITY_Private Passenger Car->CASE_10500880->OUTCOME_10500880_Established,"Since the motorcycle rider died in the accident and was hit by the motorcycle while crossing the road as a pedestrian, his family requested compensation on his behalf. In addition, neither the company nor the owner was obviously at fault, so it was deduced that mediation would be established."
9800527,Criminal,Successful,1,2,7,Traffic Accident,"At around 21:20 on October 11, 1998, [name] was riding a motorcycle owned by him [license plate] and [name] was riding a motorcycle owned by [name] [license plate]. A car accident occurred at the intersection of Minde Road and Yude Road, North District, Tainan City. Both parties were injured and the car was damaged.",motorcycle injured car damage,ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400167->OUTCOME_10400167_Not established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300502->OUTCOME_10300502_Established | ENTITY_Car damage->ENTITY_Car accident->ENTITY_Injury->CASE_9900074->OUTCOME_9900074_Not established | ENTITY_Motorcycle->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300753->OUTCOME_10300753_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500713->OUTCOME_10500713_Not established,"Due to the disagreement between the two parties regarding the appraisal of the damage to the locomotive and the dispute over the estimate of the cost of repairing the locomotive, it was difficult for the mediation committee members to reach a consensus, so the mediation was ultimately unsuccessful."
9800528,Criminal,Unsuccessful,2,4,82,Traffic Accident,"At about 7:10 on October 19, 1998, [Name] was driving a private passenger car owned by [License Plate] and [Name] was riding a bicycle, and a car accident occurred at the intersection of Wenxian 1st Road and Wencheng Intersection, North District, Tainan City.",Private passenger car and bicycle,ENTITY_Bicycle->ENTITY_Injury->ENTITY_Private Passenger Car->CASE_10600233->OUTCOME_10600233_Established | ENTITY_Bicycle->ENTITY_Injury->ENTITY_Car Damage->CASE_10400068->OUTCOME_10400068_Established | ENTITY_Bicycle->ENTITY_Injury->ENTITY_Private car->CASE_10000532->OUTCOME_10000532_Established | ENTITY_Passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300038->OUTCOME_10300038_Established | ENTITY_Bicycle->ENTITY_Injury->ENTITY_Private Passenger Car->CASE_10500304->OUTCOME_10500304_Not established,"This case is a car accident injury dispute, involving a collision between a private passenger car and a bicycle, and the damage to the vehicles and injuries suffered by both parties were moderate to severe injuries. After considering the proportion of faults of both parties and the amount of compensation, it was deduced that mediation was established because both parties were sincere in resolving the dispute and there was not much difference in the amount of compensation."
9800529,Criminal,Unsuccessful,2,3,32,Traffic Accident,"At about 1:20 on August 16, 1998, [name] drove a personal passenger car owned by [name] with [license plate] and his counterpart [name] rode a motorcycle owned by [name] with [license plate] carrying [name], and a car accident occurred at the intersection of Lane 1092, Park Road, Park Road, North District, and Lane 17, Park Road 1074, Lane 1074, Park Road.",Private passenger car and motorcycle equipped with port,ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private car->CASE_10600661->OUTCOME_10600661_Established | ENTITY_Tainankou->ENTITY_Private car->ENTITY_Injury->CASE_9900073->OUTCOME_9900073_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300149->OUTCOME_10300149_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Injury->CASE_9900522->OUTCOME_9900522_Established | ENTITY_Car accident injury dispute->ENTITY_Company owned->ENTITY_Injury->CASE_9900074->OUTCOME_9900074_Not established,"This case is a car accident injury dispute involving a collision between a private passenger car and a motorcycle. Both parties are responsible. Since the two parties still disagreed on the amount of compensation, considering that both parties were sincere in resolving the matter and the accident was an accident, it was deduced that mediation was established."
9800530,Criminal,Successful,1,2,8,Traffic Accident,"At around 14:10 on October 24, 1998, [name] drove a personal passenger car owned by [company] with [license plate] and his partner [name] rode a motorcycle with [license plate]. They had a car accident in front of No. 89, Beiyuan Street, North District, Tainan City. [name] was injured and both vehicles were damaged.","A car accident occurred in front of the company-owned passenger car and motorcycle, resulting in injuries to both parties.",ENTITY_Car accident injury dispute->ENTITY_Owned by the company->ENTITY_Private passenger car->CASE_10300051->OUTCOME_10300051_Not established | ENTITY_Both parties' cars were damaged and people were injured->ENTITY_Motorcycle->ENTITY_with oop->CASE_10000761->OUTCOME_10000761_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Injury->CASE_9800502->OUTCOME_9800502_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300343->OUTCOME_10300343_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10400430->OUTCOME_10400430_Established,"Since the vehicles of both parties were severely damaged, and all of the company's own passenger cars and motorcycles were injured in the accident, the gap in understanding between the two parties regarding the amount of compensation was too large. In addition, it was difficult to determine liability for the accident, so the mediation was ultimately unsuccessful."
9800531,Civil,Successful,1,3,7,Traffic Accident,"At about 5:00 on October 25, 1998, [name] drove a personal passenger car owned by him [license plate] and met [name] (a pedestrian), the mother of all creations, in a car accident on the west side of the intersection of Section 4 of Wenxian Road and Hewei Road in Tainan City, and [name] died.",Pedestrian death in private passenger car,ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_9900452->OUTCOME_9900452_Establishment | ENTITY_Owned passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300288->OUTCOME_10300288_Not established | ENTITY_Pedestrian->ENTITY_Injury->ENTITY_Owned passenger car->CASE_10300580->OUTCOME_10300580_Not established | ENTITY_pedestrian->ENTITY_injured->ENTITY_motorcycle->CASE_10000761->OUTCOME_10000761_established | ENTITY_pedestrian->ENTITY_injured->ENTITY_vehicle damage->CASE_10300760->OUTCOME_10300760_not established,"Since the evidence at the scene of the car accident was insufficient to prove liability, and the differences between the two parties regarding the amount of compensation were too large, it was difficult for the mediation committee to reach an agreement, so it was concluded that this mediation was not established."
9800532,Criminal,Unsuccessful,1,2,1,Traffic Accident,"At about 9:55 on August 10, 1998, [name] drove a minivan owned by [company] with [license plate] and pedestrian [name] had a car accident in front of No. 275 Wenxian Road, Tainan City. [name] was injured.",Company owned pickup truck pedestrian,ENTITY_pedestrian->ENTITY_injury->ENTITY_vehicle damage->CASE_10500353->OUTCOME_10500353_not established | ENTITY_car accident injury dispute->ENTITY_owned by the company->ENTITY_motorcycle->CASE_10000710->OUTCOME_10000710_not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Car accident->CASE_10100016->OUTCOME_10100016_Established | ENTITY_Pedestrian->ENTITY_Injury->ENTITY_Car accident->CASE_10600037->OUTCOME_10600037_Not established | ENTITY_pedestrian->ENTITY_injured->ENTITY_private passenger car->CASE_10500713->OUTCOME_10500713_not established,"Due to the large differences between the two parties regarding the amount of compensation, and the differences in recognition of the rights of small trucks and pedestrians on the road, it is difficult for the mediation committee to reach a consensus, so it is inferred that this mediation will ultimately fail."
9800533,Criminal,Successful,1,3,8,Traffic Accident,"At about 17:35 on September 13, 1998, [name] was riding a motorcycle owned by him [license plate] and was carrying an opponent. [Name] and [name] were driving a passenger car owned by [license plate] for their own use. The third person [name] was riding a motorcycle [license plate] (a separate case is handled and is not a party to this settlement). A car accident occurred at the intersection of Section 3 of Haian Road and Wencheng 1, North District, Tainan City.",Motorcycle equipped with private passenger car 3rd person,ENTITY_Carry->ENTITY_Owned by the company->ENTITY_Injury->CASE_10300068->OUTCOME_10300068_Established | ENTITY_Carry->ENTITY_Owned by the company->ENTITY_Owned passenger car->CASE_10500713->OUTCOME_10500713_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000678->OUTCOME_10000678_Establishment | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10600246->OUTCOME_10600246_Establishment | ENTITY_Motorcycle->CASE_10100552->ENTITY_Private passenger car->CASE_10500478->OUTCOME_10500478_Established,"Since both the motorcycle and the personal passenger car were damaged in the accident, and the two parties had little disagreement on the amount of compensation, and the liability of the third party was clear, it was inferred that this mediation would be successful."
9800534,Criminal,Successful,2,2,14,Traffic Accident,"At about 19:40 on October 1, 1998, the petitioner [name] was riding a motorcycle owned by [name] with [license plate] and the counterparty [name] was driving a passenger car with [license plate] for his own use. They had a car accident at Lane 152, Changbei Street, North District, Tainan City. [name] was injured and both parties' vehicles were damaged.","Motorcycle, private passenger car, injured",ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10300686->OUTCOME_10300686_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100041->OUTCOME_10100041_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10500478->OUTCOME_10500478_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10000771->OUTCOME_10000771_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10600088->OUTCOME_10600088_Not established,"Since the two parties reached a consensus on the liability for damages caused by the motorcycle and the private passenger car in the accident, and both parties agreed to the settlement conditions, the mediation was finally established."
9800535,Criminal,Successful,1,2,1,Traffic Accident,"At about 10:50 on September 5, 1998, the petitioner [Name] was driving a passenger car owned by him [License Plate] and his counterpart [Name] was riding a [License Plate] motorcycle. They had a car accident in front of No. 241 Dong'an Road, East District, Tainan City. [Name] was injured and both vehicles were damaged.",Injury occurred in front of a passenger car and a light motorcycle. Both vehicles were damaged.,ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10500620->OUTCOME_10500620_Established | ENTITY_Previous car accident->ENTITY_Injury->ENTITY_Car accident->CASE_10600037->OUTCOME_10600037_Not established | ENTITY_Passenger car->ENTITY_Locomotive->ENTITY_Passenger car->CASE_10600788->OUTCOME_10600788_Established | ENTITY_Passenger car->ENTITY_Locomotive->ENTITY_Vehicle damage->CASE_10500778->OUTCOME_10500778_Established | ENTITY_There was a car accident before->ENTITY_Injury->ENTITY_Motorcycle->CASE_10100139->OUTCOME_10100139_Not established,"This case is a car accident injury dispute. Both parties’ vehicles have obvious damage, and both parties have injury records, which meets the insurance claim conditions for the company’s passenger cars and motorcycles. Since the two parties still disagreed on the amount of compensation, considering the extent of damage to the vehicles of both parties and the injuries of the parties, the matter could be resolved through insurance claims, so mediation was established."
9800536,Criminal,Successful,1,3,11,Traffic Accident,"At about 1:40 on October 11, 1998, [Name] was riding a motorcycle with [License Plate] and [Name] was driving a passenger car with [License Plate]. They had a car accident at the intersection of Gongyuan South Road and Zhongyi Intersection, North District, Tainan City. [Name] was injured.","Motorcycle, private passenger car, injured",ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100183->OUTCOME_10100183_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10100086->OUTCOME_10100086_Not established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500849->OUTCOME_10500849_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Car accident->CASE_10600037->OUTCOME_10600037_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Private passenger car->CASE_10000095->OUTCOME_10000095_Established,"Since the two parties differed greatly on the amount of compensation, and the motorcyclist failed to call the police and seek medical assistance immediately after the accident, it was difficult to collect evidence at the scene. Therefore, the mediation committee found it difficult to find a balance between the differences between the two parties, which ultimately led to the failure of the mediation."
9800537,Criminal,Successful,2,2,18,Fraud,"[Name] published a dating advertisement in the newspaper and contacted [Name] and his wife. As a result, [Name] made a mistake and paid NT$200,000. [Name] subsequently disappeared without a trace.","Newspaper dating advertisement, caught in error, paid 200,000 yuan, disappeared without a trace",ENTITY_District Prosecutor's Referral->ENTITY_Emotional Dispute->ENTITY_Civil (Property)->ENTITY_Residence->CASE_10500930->OUTCOME_10500930_Establishment | ENTITY_District Prosecutor's Referral->ENTITY_Emotional Dispute->ENTITY_Civil (Property)->ENTITY_Purchase->CASE_10300037->OUTCOME_10300037_Established | ENTITY_District Prosecutor's Referral->ENTITY_Emotional Dispute->ENTITY_Civil (Property)->ENTITY_Unreturned->CASE_9900200->OUTCOME_9900200_Established | ENTITY_Fraud->ENTITY_Civil (Property)->ENTITY_Mediation->ENTITY_Return->CASE_9800418->OUTCOME_9800418_Established | ENTITY_District Prosecutor’s Referral->ENTITY_Emotional Dispute->ENTITY_Couple->ENTITY_Mediation->CASE_10400156->OUTCOME_10400156_Established,"Since both parties had a high degree of consensus on the return of property and payment, and there were no major resistance or disputes, an agreement was successfully reached during the mediation process, and the mediation was ultimately established."
9800538,Criminal,Successful,1,3,8,Traffic Accident,"At about 11:00 on September 11, 1998, [Name] was riding a motorcycle owned by [Name] with [license plate] and [Name] was driving a passenger car with [license plate] for his own use. They had a car accident at the intersection of Xiaodong Road and Qianfeng Intersection in North District, Tainan City. [Name] was injured and both vehicles were damaged.","Motorcycle, private passenger car, car accident, injury",ENTITY_Private passenger car->ENTITY_Owned by the company->ENTITY_Carry->CASE_10400193->OUTCOME_10400193_Established | ENTITY_Car accident->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10300790->OUTCOME_10300790_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Car accident->CASE_10100697->OUTCOME_10100697_Established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Car accident->CASE_10500236->OUTCOME_10500236_Established | ENTITY_Private passenger car->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500325->OUTCOME_10500325_Established,"Since both the motorcycle rider and the passenger car driver were injured in the car accident, and the two parties still dispute the amount of compensation, considering that both parties are sincere in resolving the matter, and the responsibility for the accident is clear, it is inferred that this mediation will be established."
9800539,Criminal,Unsuccessful,2,2,20,Harassment,"The claimant alleged that [name] came to the home many times to demand money from the father of the claimant [name] in a coercive manner, but his father ignored him, leading to disputes. In 1998, [name] went to [name] for a quarrel, and the two sides pushed and punched each other.","Coercion at home, father asking for money, arguing, fighting",ENTITY_mutual assault->ENTITY_infringement->ENTITY_civil (property)->ENTITY_support->CASE_10300560->OUTCOME_10300560_not established | ENTITY_father->ENTITY_civil (property)->ENTITY_land and building->ENTITY_sales contract->CASE_9800171->OUTCOME_9800171_not established | ENTITY_Injury dispute->ENTITY_Mediation->ENTITY_Damage->CASE_10000525->OUTCOME_10000525_Not established | ENTITY_Dispute->ENTITY_Civil (property)->ENTITY_Damage->ENTITY_Land->CASE_10300490->OUTCOME_10300490_Not established | ENTITY_mutual assault->ENTITY_infringement->ENTITY_civil (property)->ENTITY_mediation->CASE_10600390->OUTCOME_10600390_not established,"Due to the large differences between the two parties regarding the amount of compensation, as well as the involvement of domestic violence and property disputes, it was difficult for the mediation committee members to reach a consensus, so it was inferred that this mediation would not be successful in the end."
9800540,Criminal,Successful,1,2,5,Traffic Accident,"At about 8:20 on July 27, 1998, [name] was riding a motorcycle owned by him [license plate] and [name] was riding a motorcycle [license plate]. They had a car accident on Park Road and Park South Road in North District, Tainan City. Both parties were injured and the car was damaged.",motorcycle injured car damage,ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10500620->OUTCOME_10500620_Established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10601004->OUTCOME_10601004_Not established | ENTITY_Injury->CASE_10100552->DETAIL_Car accident injury dispute->CASE_10500815->OUTCOME_10500815_Not established | ENTITY_Car accident injury dispute->ENTITY_Company-owned->ENTITY_Motorcycle->CASE_10300266->OUTCOME_10300266_Established | ENTITY_Car accident injury dispute->ENTITY_Company owned->ENTITY_Injury->CASE_10200856->OUTCOME_10200856_Established,"Since the motorcyclist was injured in a car accident and his car was severely damaged, a compensation dispute arose between him and the car owner, and the two parties had little understanding of the compensation amount. Therefore, during the mediation process, both parties were able to communicate rationally and reach a consensus, and finally the mediation was established."
